Pozo,Qo_bpd,Qw_bpd,Qg_mscfd,WHP_psi,BHP_psi,Water_Cut,GOR
Pozo-01,2224.18,277.36,1075.06,480.93,2146.78,0.1109,483.35
Pozo-02,2065.43,237.02,814.84,477.94,2290.82,0.1029,394.51
Pozo-03,2261.92,467.25,890.62,424.82,1914.22,0.1712,393.74
Pozo-04,2480.76,331.94,1073.62,440.72,2223.97,0.118,432.78
Pozo-05,2041.46,355.4,1138.62,459.94,2157.83,0.1483,557.75
Pozo-06,2041.47,236.02,1070.56,479.27,2123.09,0.1036,524.41
Pozo-07,2494.8,306.45,1036.12,435.62,2158.26,0.1094,415.31
Pozo-08,2291.86,358.87,1013.87,444.43,1971.12,0.1354,442.38
Pozo-09,1982.63,257.92,872.58,416.81,2130.23,0.1151,440.11
Pozo-10,2235.64,380.06,963.62,414.11,2182.14,0.1453,431.03
Pozo-11,1984.15,301.95,994.72,474.38,2283.01,0.1321,501.34
Pozo-12,1983.57,326.66,1176.85,490.69,2103.36,0.1414,593.3
Pozo-13,2160.49,301.86,1091.23,447.84,2077.24,0.1226,505.09
Pozo-14,1621.68,498.18,838.44,480.11,2104.84,0.235,517.02
Pozo-15,1668.77,348.92,1088.89,460.85,2232.39,0.1729,652.51
Pozo-16,1959.43,265.38,1003.79,430.65,2179.59,0.1193,512.29
Pozo-17,1846.79,415.8,968.77,460.84,2102.32,0.1838,524.57
Pozo-18,2178.56,252.33,1123.4,496.14,2196.19,0.1038,515.66
Pozo-19,386.8,1888.41,227.61,252.68,1430.65,0.83,588.44
Pozo-20,447.81,1906.66,275.71,179.81,1569.24,0.8098,615.7
Pozo-21,330.86,1833.62,180.28,224.62,1446.9,0.8471,544.9
Pozo-22,357.06,1427.87,193.01,226.5,1579.03,0.8,540.55
Pozo-23,352.55,1844.17,212.99,239.55,1606.89,0.8395,604.14
Pozo-24,277.55,1863.25,194.9,189.08,1458.45,0.8704,702.19
Pozo-25,400.73,2391.91,163.48,186.99,1592.25,0.8565,407.96
Pozo-26,398.27,1807.68,212.06,233.05,1550.96,0.8195,532.44
Pozo-27,380.36,1916.34,178.13,227.42,1581.65,0.8344,468.32
Pozo-28,363.58,1842.36,224.21,226.26,1662.26,0.8352,616.67
Pozo-29,280.92,1592.89,182.42,228.66,1501.6,0.8501,649.35
Pozo-30,350.55,2101.42,256.5,203.0,1463.47,0.857,731.69
Pozo-31,356.01,2015.43,186.5,225.81,1453.29,0.8499,523.87
Pozo-32,323.84,2024.03,200.34,227.33,1458.81,0.8621,618.63
Pozo-33,368.71,1649.93,234.41,202.14,1514.22,0.8173,635.74
Pozo-34,408.28,2158.61,173.07,266.64,1545.59,0.8409,423.91
Pozo-35,512.03,1541.59,216.82,231.85,1540.75,0.7507,423.46
Pozo-36,281.36,162.14,101.24,144.72,1348.04,0.3656,359.84
Pozo-37,240.65,214.26,130.3,81.99,1188.49,0.471,541.45
Pozo-38,312.68,188.56,130.28,120.29,1321.19,0.3762,416.65
Pozo-39,226.77,130.17,130.3,85.81,1270.29,0.3647,574.6
Pozo-40,376.01,186.93,197.05,102.92,1361.15,0.3321,524.07
Pozo-41,271.28,195.41,131.42,126.33,1262.45,0.4187,484.43
Pozo-42,197.14,144.65,142.71,110.96,1303.12,0.4232,723.9
Pozo-43,186.46,186.15,139.08,93.83,1340.3,0.4996,745.92
Pozo-44,264.12,182.33,133.03,99.27,1361.95,0.4084,503.66
Pozo-45,228.83,134.28,113.69,120.19,1237.98,0.3698,496.86
Pozo-46,275.7,194.31,135.18,99.04,1289.93,0.4134,490.31
Pozo-47,263.66,202.43,104.54,113.25,1281.5,0.4343,396.51
Pozo-48,236.36,223.32,115.26,110.68,1270.8,0.4858,487.66
Pozo-49,197.66,222.15,110.29,100.23,1415.93,0.5292,557.99
Pozo-50,164.26,124.89,121.64,142.16,1334.3,0.4319,740.53
