Registro_ID,WHP_psi,Qo_bpd
1,275.87,1256.44
2,352.13,1533.03
3,394.28,1788.92
4,356.14,1667.81
5,266.82,1206.56
6,303.05,1368.6
7,364.34,1555.3
8,295.23,1248.99
9,335.53,1341.59
10,347.11,1771.95
11,287.56,1144.74
12,317.92,1347.48
13,206.56,843.29
14,284.15,1386.05
15,311.16,1364.83
16,276.33,1393.2
17,377.13,1616.29
18,269.95,1248.23
19,304.6,1270.45
20,324.58,1718.01
21,370.44,1524.49
22,269.74,1251.03
23,360.71,1699.25
24,320.36,1491.27
25,285.65,1263.18
26,336.17,1497.2
27,326.97,1476.61
28,298.99,1327.83
29,322.44,1566.66
30,306.51,1644.58
31,323.97,1390.98
32,343.17,1379.91
33,375.51,1679.2
34,276.68,1554.61
35,394.66,1679.51
36,251.68,1329.24
37,314.69,1617.42
38,340.59,1466.23
39,329.83,1552.53
40,298.21,1537.33
41,312.72,1361.73
42,302.74,1337.92
43,299.37,1277.37
44,349.74,1452.04
45,332.5,1418.32
46,295.75,1183.99
47,351.49,1585.78
48,330.76,1396.0
49,348.45,1596.08
50,342.04,1352.46
51,290.99,1349.14
52,300.39,1451.79
53,346.16,1318.45
54,341.36,1581.02
55,319.27,1584.03
56,324.11,1313.32
57,364.72,1841.94
58,299.3,1397.11
59,339.15,1441.57
60,312.92,1401.46
61,312.38,1472.71
62,358.46,1622.18
63,348.89,1634.65
64,348.47,1457.65
65,365.69,1665.94
66,320.74,1273.66
67,343.87,1534.06
68,309.14,1282.66
69,331.35,1402.79
70,315.44,1567.83
71,323.39,1586.23
72,340.83,1606.83
73,291.36,1180.05
74,393.23,1731.58
75,284.79,1427.12
76,277.5,1265.77
77,360.53,1900.72
78,347.71,1611.89
79,341.84,1561.34
80,341.99,1501.87
81,319.57,1454.1
82,288.6,1280.39
83,322.65,1536.91
84,296.3,1448.15
85,354.13,1499.26
86,314.85,1257.09
87,291.11,1089.64
88,308.75,1450.34
89,334.45,1372.63
90,300.27,1092.87
91,291.22,1357.13
92,328.53,1777.54
93,328.57,1477.85
94,302.26,1460.78
95,303.51,1375.63
96,328.12,1464.68
97,269.32,1322.22
98,270.74,1183.49
99,294.85,1358.93
100,312.53,1444.99
101,330.88,1408.8
102,371.64,1791.41
103,350.02,1554.09
104,314.4,1324.12
105,319.33,1501.39
106,284.91,1174.29
107,319.35,1440.47
108,309.9,1393.44
109,331.3,1621.14
110,291.05,1366.67
111,338.18,1518.79
112,373.65,1779.54
113,316.19,1589.7
114,334.06,1570.21
115,344.16,1549.94
116,305.96,1219.39
117,327.84,1347.48
118,320.44,1405.36
119,323.42,1382.24
120,292.94,1295.81
121,320.86,1450.66
122,337.43,1582.0
123,370.79,1660.1
124,353.57,1649.47
125,395.36,1786.86
126,293.14,1082.09
127,350.53,1464.67
128,326.42,1451.59
129,396.64,1639.73
130,291.71,1384.68
131,290.61,1491.43
132,299.02,1491.85
133,245.66,1079.87
134,301.6,1536.08
135,293.43,1338.28
136,325.26,1423.24
137,331.96,1420.22
138,385.67,1699.2
139,353.26,1543.11
140,299.81,1369.59
141,288.56,1317.77
142,337.22,1517.84
143,273.79,1284.5
144,384.1,1871.33
145,361.28,1739.71
146,303.58,1187.92
